Adjusted Grade,New?,Other Location Code in LCGMS,School Name,SED Code,Location Code,District,Latitude,Longitude,Address (Full),City,Zip,Grades,Grade Low,Grade High,Community School?,Economic Need Index,School Income Estimate,Percent ELL,Percent Asian,Percent Black,Percent Hispanic,Percent Black / Hispanic,Percent White,Student Attendance Rate,Percent of Students Chronically Absent,Rigorous Instruction %,Rigorous Instruction Rating,Collaborative Teachers %,Collaborative Teachers Rating,Supportive Environment %,Supportive Environment Rating,Effective School Leadership %,Effective School Leadership Rating,Strong Family-Community Ties %,Strong Family-Community Ties Rating,Trust %,Trust Rating,Student Achievement Rating,Average ELA Proficiency,Average Math Proficiency,Grade 3 ELA - All Students Tested,Grade 3 ELA 4s - All Students,Grade 3 ELA 4s - American Indian or Alaska Native,Grade 3 ELA 4s - Black or African American,Grade 3 ELA 4s - Hispanic or Latino,Grade 3 ELA 4s - Asian or Pacific Islander,Grade 3 ELA 4s - White,Grade 3 ELA 4s - Multiracial,Grade 3 ELA 4s - Limited English Proficient,Grade 3 ELA 4s - Economically Disadvantaged,Grade 3 Math - All Students tested,Grade 3 Math 4s - All Students,Grade 3 Math 4s - American Indian or Alaska Native,Grade 3 Math 4s - Black or African American,Grade 3 Math 4s - Hispanic or Latino,Grade 3 Math 4s - Asian or Pacific Islander,Grade 3 Math 4s - White,Grade 3 Math 4s - Multiracial,Grade 3 Math 4s - Limited English Proficient,Grade 3 Math 4s - Economically Disadvantaged,Grade 4 ELA - All Students Tested,Grade 4 ELA 4s - All Students,Grade 4 ELA 4s - American Indian or Alaska Native,Grade 4 ELA 4s - Black or African American,Grade 4 ELA 4s - Hispanic or Latino,Grade 4 ELA 4s - Asian or Pacific Islander,Grade 4 ELA 4s - White,Grade 4 ELA 4s - Multiracial,Grade 4 ELA 4s - Limited English Proficient,Grade 4 ELA 4s - Economically Disadvantaged,Grade 4 Math - All Students Tested,Grade 4 Math 4s - All Students,Grade 4 Math 4s - American Indian or Alaska Native,Grade 4 Math 4s - Black or African American,Grade 4 Math 4s - Hispanic or Latino,Grade 4 Math 4s - Asian or Pacific Islander,Grade 4 Math 4s - White,Grade 4 Math 4s - Multiracial,Grade 4 Math 4s - Limited English Proficient,Grade 4 Math 4s - Economically Disadvantaged,Grade 5 ELA - All Students Tested,Grade 5 ELA 4s - All Students,Grade 5 ELA 4s - American Indian or Alaska Native,Grade 5 ELA 4s - Black or African American,Grade 5 ELA 4s - Hispanic or Latino,Grade 5 ELA 4s - Asian or Pacific Islander,Grade 5 ELA 4s - White,Grade 5 ELA 4s - Multiracial,Grade 5 ELA 4s - Limited English Proficient,Grade 5 ELA 4s - Economically Disadvantaged,Grade 5 Math - All Students Tested,Grade 5 Math 4s - All Students,Grade 5 Math 4s - American Indian or Alaska Native,Grade 5 Math 4s - Black or African American,Grade 5 Math 4s - Hispanic or Latino,Grade 5 Math 4s - Asian or Pacific Islander,Grade 5 Math 4s - White,Grade 5 Math 4s - Multiracial,Grade 5 Math 4s - Limited English Proficient,Grade 5 Math 4s - Economically Disadvantaged,Grade 6 ELA - All Students Tested,Grade 6 ELA 4s - All Students,Grade 6 ELA 4s - American Indian or Alaska Native,Grade 6 ELA 4s - Black or African American,Grade 6 ELA 4s - Hispanic or Latino,Grade 6 ELA 4s - Asian or Pacific Islander,Grade 6 ELA 4s - White,Grade 6 ELA 4s - Multiracial,Grade 6 ELA 4s - Limited English Proficient,Grade 6 ELA 4s - Economically Disadvantaged,Grade 6 Math - All Students Tested,Grade 6 Math 4s - All Students,Grade 6 Math 4s - American Indian or Alaska Native,Grade 6 Math 4s - Black or African American,Grade 6 Math 4s - Hispanic or Latino,Grade 6 Math 4s - Asian or Pacific Islander,Grade 6 Math 4s - White,Grade 6 Math 4s - Multiracial,Grade 6 Math 4s - Limited English Proficient,Grade 6 Math 4s - Economically Disadvantaged,Grade 7 ELA - All Students Tested,Grade 7 ELA 4s - All Students,Grade 7 ELA 4s - American Indian or Alaska Native,Grade 7 ELA 4s - Black or African American,Grade 7 ELA 4s - Hispanic or Latino,Grade 7 ELA 4s - Asian or Pacific Islander,Grade 7 ELA 4s - White,Grade 7 ELA 4s - Multiracial,Grade 7 ELA 4s - Limited English Proficient,Grade 7 ELA 4s - Economically Disadvantaged,Grade 7 Math - All Students Tested,Grade 7 Math 4s - All Students,Grade 7 Math 4s - American Indian or Alaska Native,Grade 7 Math 4s - Black or African American,Grade 7 Math 4s - Hispanic or Latino,Grade 7 Math 4s - Asian or Pacific Islander,Grade 7 Math 4s - White,Grade 7 Math 4s - Multiracial,Grade 7 Math 4s - Limited English Proficient,Grade 7 Math 4s - Economically Disadvantaged,Grade 8 ELA - All Students Tested,Grade 8 ELA 4s - All Students,Grade 8 ELA 4s - American Indian or Alaska Native,Grade 8 ELA 4s - Black or African American,Grade 8 ELA 4s - Hispanic or Latino,Grade 8 ELA 4s - Asian or Pacific Islander,Grade 8 ELA 4s - White,Grade 8 ELA 4s - Multiracial,Grade 8 ELA 4s - Limited English Proficient,Grade 8 ELA 4s - Economically Disadvantaged,Grade 8 Math - All Students Tested,Grade 8 Math 4s - All Students,Grade 8 Math 4s - American Indian or Alaska Native,Grade 8 Math 4s - Black or African American,Grade 8 Math 4s - Hispanic or Latino,Grade 8 Math 4s - Asian or Pacific Islander,Grade 8 Math 4s - White,Grade 8 Math 4s - Multiracial,Grade 8 Math 4s - Limited English Proficient,Grade 8 Math 4s - Economically Disadvantaged
,,,P.S. 101 THE VERRAZANO,3.321E+11,21K101,21,40.597535,-73.991912,"2360 BENSON AVE BROOKLYN, NY 11214",BROOKLYN,11214,"PK,0K,01,02,03,04,05",PK,5,No,0.615,"$46,794.68 ",18%,53%,1%,19%,20%,27%,96%,8%,93%,Exceeding Target,96%,Exceeding Target,97%,Exceeding Target,91%,Exceeding Target,82%,Approaching Target,98%,Exceeding Target,Exceeding Target,2.85,3.27,144,13,0,0,0,8,4,0,0,8,152,48,0,0,0,36,11,0,3,23,148,66,0,0,0,40,11,0,0,39,151,61,0,0,0,43,11,0,1,31,153,35,0,0,0,22,11,0,0,13,154,47,0,0,0,35,10,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,P.S. 121 NELSON A. ROCKEFELLER,3.321E+11,21K121,21,40.622876,-73.978774,"5301 20TH AVE BROOKLYN, NY 11204",BROOKLYN,11204,"PK,0K,01,02,03,04,05,06,07,08",PK,8,No,0.682,"$47,519.85 ",18%,18%,3%,42%,45%,35%,95%,14%,93%,Meeting Target,94%,Meeting Target,87%,Meeting Target,91%,Exceeding Target,83%,Meeting Target,94%,Exceeding Target,Exceeding Target,2.68,2.95,25,3,0,0,0,0,1,0,0,1,26,8,0,0,1,0,0,0,0,4,41,4,0,0,1,0,2,0,0,3,42,4,0,0,1,0,2,0,0,3,38,5,0,0,1,1,3,0,0,1,38,7,0,0,3,2,2,0,0,5,24,3,0,0,1,0,0,0,0,2,24,3,0,0,1,0,0,0,0,1,23,1,0,0,0,1,0,0,0,1,24,2,0,0,1,1,0,0,0,1,26,2,0,0,0,0,2,0,0,0,27,2,0,0,1,0,1,0,1,1
,,,P.S. 128 BENSONHURST,3.321E+11,21K128,21,40.604994,-73.995134,"2075 84TH ST BROOKLYN, NY 11214",BROOKLYN,11214,"PK,0K,01,02,03,04,05",PK,5,No,0.679,"$43,689.16 ",41%,30%,1%,18%,19%,51%,96%,10%,89%,Approaching Target,90%,Meeting Target,94%,Meeting Target,82%,Meeting Target,78%,Approaching Target,93%,Meeting Target,Meeting Target,2.45,2.8,67,0,0,0,0,0,0,0,0,0,76,11,0,0,0,8,3,0,1,9,61,6,0,0,0,2,3,0,0,6,63,6,0,0,0,4,2,0,2,6,72,6,0,0,0,4,2,0,0,5,73,9,0,0,0,6,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,P.S. 153 HOMECREST,3.321E+11,21K153,21,40.601174,-73.960031,"1970 HOMECREST AVE BROOKLYN, NY 11229",BROOKLYN,11229,"PK,0K,01,02,03,04,05",PK,5,No,0.687,"$45,059.44 ",24%,26%,2%,33%,36%,34%,95%,15%,94%,Exceeding Target,91%,Exceeding Target,97%,Meeting Target,84%,Meeting Target,81%,Approaching Target,91%,Meeting Target,Approaching Target,2.6,2.85,80,4,0,0,0,0,3,0,0,2,79,21,0,0,2,0,11,0,0,9,73,15,0,0,1,3,9,0,0,7,72,13,0,0,2,5,4,0,1,11,85,5,0,0,1,2,2,0,0,4,90,11,0,0,1,3,6,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,P.S. 177 THE MARLBORO,3.321E+11,21K177,21,40.608431,-73.974412,"346 AVE P BROOKLYN, NY 11204",BROOKLYN,11204,"PK,0K,01,02,03,04,05",PK,5,No,0.723,"$45,242.71 ",32%,25%,1%,33%,34%,39%,95%,18%,92%,Meeting Target,89%,Meeting Target,95%,Meeting Target,83%,Meeting Target,80%,Approaching Target,90%,Meeting Target,Approaching Target,2.53,2.85,158,13,0,0,1,0,8,0,0,5,160,32,0,0,5,0,17,0,0,17,152,24,0,0,6,0,8,0,0,11,161,29,0,0,6,0,8,0,1,16,141,13,0,0,1,0,6,0,0,8,147,24,0,0,4,0,12,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,P.S. 188 MICHAEL E. BERDY,3.321E+11,21K188,21,40.576776,-74.000539,"3314 NEPTUNE AVE BROOKLYN, NY 11224",BROOKLYN,11224,"PK,0K,01,02,03,04,05",PK,5,No,0.885,"$26,217.74 ",5%,4%,51%,35%,86%,9%,90%,40%,87%,Approaching Target,82%,Approaching Target,89%,Approaching Target,73%,Approaching Target,82%,Approaching Target,89%,Meeting Target,Exceeding Target,2.27,2.46,87,1,0,1,0,0,0,0,0,0,87,6,0,4,0,0,0,0,2,4,75,3,0,2,0,0,0,0,0,3,76,6,0,2,3,0,0,0,0,6,77,2,0,0,1,0,0,0,0,0,79,5,0,1,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,P.S. 199 FREDERICK WACHTEL,3.321E+11,21K199,21,40.616567,-73.963134,"1100 ELM AVE BROOKLYN, NY 11230",BROOKLYN,11230,"PK,0K,01,02,03,04,05",PK,5,No,0.703,"$40,233.93 ",29%,21%,4%,27%,31%,48%,94%,15%,95%,Exceeding Target,94%,Exceeding Target,98%,Exceeding Target,86%,Exceeding Target,86%,Meeting Target,96%,Exceeding Target,Meeting Target,2.8,3.08,79,4,0,0,1,0,3,0,0,3,80,13,0,0,1,2,10,0,1,9,64,9,0,0,0,4,3,0,0,8,68,17,0,0,0,7,7,0,2,14,71,7,0,0,2,0,2,0,0,4,74,19,0,0,3,0,9,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,P.S. 209 MARGARET MEAD,3.321E+11,21K209,21,40.58677,-73.961478,"2609 E 7TH ST BROOKLYN, NY 11235",BROOKLYN,11235,"PK,0K,01,02,03,04,05,06,07,08",PK,8,No,0.599,"$51,896.27 ",16%,30%,4%,23%,27%,42%,94%,18%,93%,Meeting Target,94%,Meeting Target,91%,Meeting Target,81%,Meeting Target,81%,Approaching Target,93%,Meeting Target,Meeting Target,2.64,2.82,76,0,0,0,0,0,0,0,0,0,82,16,0,0,0,6,8,0,0,8,72,14,0,0,0,5,7,0,0,8,75,25,0,0,0,11,11,0,0,18,70,11,0,0,0,6,4,0,0,8,73,10,0,0,0,4,6,0,0,8,58,4,0,0,0,2,1,0,0,2,61,5,0,0,0,3,1,0,0,4,49,12,0,0,0,5,7,0,0,10,50,6,0,0,0,0,4,0,0,5,56,9,0,0,2,1,3,0,0,8,38,3,0,0,1,0,1,0,0,0
,,,P.S. 212 LADY DEBORAH MOODY,3.321E+11,21K212,21,40.587495,-73.985611,"87 BAY 49TH ST BROOKLYN, NY 11214",BROOKLYN,11214,"PK,0K,01,02,03,04,05",PK,5,No,0.762,"$34,549.16 ",19%,34%,15%,33%,48%,18%,93%,28%,91%,Exceeding Target,89%,Exceeding Target,96%,Meeting Target,78%,Meeting Target,79%,Approaching Target,92%,Meeting Target,Meeting Target,2.63,2.7,95,8,0,0,1,4,3,0,0,6,96,14,0,0,0,9,5,0,0,12,96,11,0,0,3,6,0,0,0,10,100,18,0,0,3,12,3,0,3,16,92,4,0,0,0,2,2,0,0,4,96,9,0,0,0,9,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,P.S. 215 MORRIS H. WEISS,3.321E+11,21K215,21,40.602465,-73.970072,"415 AVE S BROOKLYN, NY 11223",BROOKLYN,11223,"PK,0K,01,02,03,04,05",PK,5,No,0.515,"$45,832.34 ",15%,23%,3%,26%,29%,47%,94%,19%,98%,Exceeding Target,96%,Exceeding Target,97%,Meeting Target,91%,Exceeding Target,80%,Approaching Target,92%,Meeting Target,Meeting Target,2.95,3.28,163,34,0,1,1,14,18,0,0,17,167,70,0,3,6,33,28,0,2,41,123,46,0,0,4,0,27,0,0,20,124,52,0,0,4,0,32,0,1,25,145,46,0,0,5,18,23,0,0,18,143,50,0,0,2,23,24,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,P.S. 216 ARTURO TOSCANINI,3.321E+11,21K216,21,40.590181,-73.969661,"350 AVE X BROOKLYN, NY 11223",BROOKLYN,11223,"PK,0K,01,02,03,04,05",PK,5,No,0.521,"$42,871.40 ",15%,24%,5%,18%,23%,52%,95%,14%,88%,Approaching Target,92%,Meeting Target,93%,Meeting Target,84%,Meeting Target,84%,Meeting Target,96%,Exceeding Target,Approaching Target,2.69,2.84,104,8,0,0,1,1,6,0,0,6,109,12,0,0,0,2,9,0,1,7,95,20,0,0,2,0,15,0,0,9,96,13,0,0,1,0,10,0,0,7,72,4,0,0,0,2,2,0,0,3,73,7,0,1,0,2,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,P.S. K225 - THE EILEEN E. ZAGLIN,3.321E+11,21K225,21,40.57981,-73.95601,"1075 OCEANVIEW AVE BROOKLYN, NY 11235",BROOKLYN,11235,"PK,0K,01,02,03,04,05,06,07,08",PK,8,No,0.684,"$36,586.39 ",41%,17%,3%,37%,40%,42%,93%,24%,92%,Approaching Target,89%,Meeting Target,87%,Meeting Target,85%,Meeting Target,76%,Approaching Target,92%,Meeting Target,Meeting Target,2.51,2.64,112,7,0,0,2,0,5,0,1,2,121,15,0,0,2,0,9,0,4,5,77,8,0,0,1,0,6,0,0,5,80,8,0,0,2,0,3,0,0,4,99,12,0,0,3,0,8,0,1,5,103,20,0,0,0,0,15,0,3,8,113,13,0,0,4,0,7,0,0,8,127,15,0,0,2,0,11,0,3,6,93,7,0,0,3,0,3,0,0,3,109,8,0,0,2,0,4,0,0,3,127,13,0,0,4,2,6,0,0,7,138,16,0,0,3,3,9,0,1,9
,,,P.S. 226 ALFRED DE B.MASON,3.321E+11,21K226,21,40.615326,-73.976944,"6006 23RD AVE BROOKLYN, NY 11204",BROOKLYN,11204,"PK,0K,01,02,03,04,05,06,07,08",PK,8,No,0.692,"$47,058.63 ",21%,28%,2%,31%,33%,38%,95%,11%,95%,Exceeding Target,93%,Meeting Target,92%,Exceeding Target,85%,Meeting Target,82%,Meeting Target,93%,Exceeding Target,Meeting Target,2.72,2.89,105,20,0,0,0,8,11,0,0,16,110,33,0,0,0,15,13,0,1,26,112,20,0,0,3,0,10,0,0,12,114,31,0,0,6,0,13,0,0,22,106,16,0,0,4,0,7,0,0,10,113,21,0,0,3,0,10,0,1,15,87,16,0,0,0,7,8,0,0,15,90,22,0,0,0,11,10,0,2,21,92,6,0,0,3,0,2,0,0,4,95,14,0,0,1,0,7,0,0,10,81,17,0,0,3,0,10,0,0,14,56,4,0,0,2,0,1,0,1,0
,,,I.S. 228 DAVID A. BOODY,3.321E+11,21K228,21,40.600816,-73.976838,"228 AVE S BROOKLYN, NY 11223",BROOKLYN,11223,"06,07,08",6,8,No,0.636,N/A,11%,29%,8%,26%,34%,36%,95%,16%,92%,Meeting Target,94%,Exceeding Target,88%,Meeting Target,89%,Exceeding Target,74%,Approaching Target,93%,Exceeding Target,Meeting Target,2.62,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388,56,0,0,4,23,28,0,0,39,394,87,0,0,10,49,28,0,2,68,502,41,0,2,8,11,20,0,0,31,509,84,0,0,10,43,30,0,1,69,368,46,0,0,10,12,22,0,0,37,304,16,0,0,1,11,3,0,1,13
,,,P.S. 238 ANNE SULLIVAN,3.321E+11,21K238,21,40.608787,-73.964587,"1633 E 8TH ST BROOKLYN, NY 11223",BROOKLYN,11223,"PK,0K,01,02,03,04,05,06,07,08",PK,8,No,0.8,"$44,760.90 ",27%,17%,4%,56%,61%,22%,94%,18%,88%,Meeting Target,91%,Meeting Target,89%,Exceeding Target,77%,Meeting Target,82%,Meeting Target,92%,Meeting Target,Meeting Target,2.42,2.49,49,2,0,0,0,0,0,0,0,1,52,3,0,0,1,0,0,0,0,2,51,4,0,0,3,0,0,0,0,2,51,4,0,0,3,0,0,0,0,2,56,4,0,0,1,0,2,0,0,3,57,2,0,0,0,0,2,0,0,1,46,2,0,0,2,0,0,0,0,2,46,2,0,0,1,0,0,0,0,1,56,2,0,0,0,2,0,0,0,2,57,1,0,0,0,1,0,0,0,1,39,5,0,0,2,0,2,0,0,3,26,0,0,0,0,0,0,0,0,0
,,,MARK TWAIN I.S. 239 FOR THE GIFTED & TALENTED,3.321E+11,21K239,21,40.57866,-73.992391,"2401 NEPTUNE AVE BROOKLYN, NY 11224",BROOKLYN,11224,"06,07,08",6,8,No,0.311,N/A,1%,28%,7%,5%,12%,54%,96%,7%,88%,Meeting Target,89%,Exceeding Target,87%,Meeting Target,86%,Meeting Target,73%,Approaching Target,91%,Meeting Target,Meeting Target,3.53,3.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422,235,0,9,7,93,110,16,0,57,418,312,0,9,11,121,145,26,0,85,355,175,0,5,4,45,110,11,0,32,352,205,0,5,6,64,119,11,0,44,403,222,0,10,5,87,116,4,0,65,366,209,0,5,4,98,99,3,0,65
,,,P.S. 253,3.321E+11,21K253,21,40.580084,-73.961946,"601 OCEANVIEW AVE BROOKLYN, NY 11235",BROOKLYN,11235,"PK,0K,01,02,03,04,05",PK,5,No,0.8,"$32,595.45 ",23%,38%,0%,41%,41%,20%,95%,14%,99%,Exceeding Target,98%,Exceeding Target,97%,Exceeding Target,95%,Exceeding Target,84%,Meeting Target,98%,Exceeding Target,Meeting Target,2.56,2.97,145,12,0,0,2,7,0,0,0,9,150,30,0,0,7,14,0,0,1,23,121,15,0,0,5,8,0,0,0,9,125,35,0,0,15,13,0,0,3,27,108,9,0,0,1,4,0,0,0,5,109,26,0,0,11,9,0,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,I.S. 281 JOSEPH B CAVALLARO,3.321E+11,21K281,21,40.594445,-73.993819,"8787 24TH AVE BROOKLYN, NY 11214",BROOKLYN,11214,"06,07,08",6,8,No,0.631,N/A,16%,38%,7%,22%,29%,31%,94%,19%,81%,Approaching Target,78%,Meeting Target,81%,Approaching Target,65%,Not Meeting Target,69%,Not Meeting Target,81%,Approaching Target,Exceeding Target,2.72,2.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,49,0,0,6,27,16,0,1,34,364,98,0,0,9,65,22,0,8,72,344,29,0,0,2,11,15,0,0,20,363,71,0,0,3,48,19,0,3,56,381,67,0,2,1,32,30,0,0,48,397,96,0,1,2,60,31,0,7,64
,,,P.S. 288 THE SHIRLEY TANYHILL,3.321E+11,21K288,21,40.57427,-73.992477,"2950 W 25TH ST BROOKLYN, NY 11224",BROOKLYN,11224,"PK,0K,01,02,03,04,05,06,07,08",PK,8,No,0.912,"$22,422.66 ",7%,2%,53%,36%,90%,7%,89%,46%,83%,Approaching Target,86%,Approaching Target,80%,Approaching Target,82%,Meeting Target,81%,Approaching Target,89%,Meeting Target,Approaching Target,2.19,2.2,71,2,0,2,0,0,0,0,0,2,72,1,0,1,0,0,0,0,0,1,61,0,0,0,0,0,0,0,0,0,61,2,0,0,0,0,0,0,0,1,65,1,0,0,1,0,0,0,0,1,66,1,0,0,1,0,0,0,0,1,54,4,0,3,1,0,0,0,0,0,56,1,0,1,0,0,0,0,0,1,44,0,0,0,0,0,0,0,0,0,46,2,0,1,0,0,0,0,0,2,29,3,0,2,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0
,,,I.S. 303 HERBERT S. EISENBERG,3.321E+11,21K303,21,40.58241,-73.972436,"501 WEST AVE BROOKLYN, NY 11224",BROOKLYN,11224,"06,07,08",6,8,No,0.703,N/A,11%,21%,12%,34%,46%,33%,93%,23%,87%,Meeting Target,83%,Meeting Target,88%,Meeting Target,76%,Approaching Target,74%,Approaching Target,86%,Meeting Target,Meeting Target,2.64,2.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,5,0,1,1,0,3,0,0,4,169,11,0,1,1,4,5,0,5,7,140,19,0,0,5,6,5,0,0,12,146,17,0,0,2,7,8,0,1,11,175,21,0,1,5,5,10,0,0,9,122,2,0,0,0,0,2,0,1,1
,,,P.S. 329 SURFSIDE,3.321E+11,21K329,21,40.574839,-73.995807,"2929 W 30TH ST BROOKLYN, NY 11224",BROOKLYN,11224,"PK,0K,01,02,03,04,05",PK,5,No,0.885,"$22,533.91 ",3%,6%,59%,27%,86%,7%,92%,30%,83%,Meeting Target,79%,Approaching Target,77%,Meeting Target,69%,Approaching Target,81%,Approaching Target,81%,Approaching Target,Meeting Target,2.34,2.33,69,1,0,0,0,0,0,0,0,1,69,6,0,4,0,0,0,0,0,6,66,8,0,5,3,0,0,0,0,6,67,1,0,0,1,0,0,0,0,1,59,5,0,2,2,0,0,0,0,4,59,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,KINGSBOROUGH EARLY COLLEGE SCHOOL,3.321E+11,21K468,21,40.593624,-73.986144,"2630 BENSON AVE BROOKLYN, NY 11214",BROOKLYN,11214,"06,07,08,09,10,11,12",6,12,No,0.564,N/A,1%,8%,24%,27%,51%,40%,93%,21%,94%,Exceeding Target,98%,Exceeding Target,77%,Meeting Target,95%,Exceeding Target,72%,Approaching Target,91%,Meeting Target,Meeting Target,2.61,2.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,17,0,3,6,0,5,0,0,15,89,12,0,0,5,0,5,0,0,11,75,3,0,0,1,0,0,0,0,2,75,2,0,0,0,0,0,0,0,0,52,6,0,0,1,0,3,0,0,4,33,0,0,0,0,0,0,0,0,0
,,,BROOKLYN STUDIO SECONDARY SCHOOL,3.321E+11,21K690,21,40.604847,-73.994746,"8310 21ST AVE BROOKLYN, NY 11214",BROOKLYN,11214,"06,07,08,09,10,11,12",6,12,No,0.608,N/A,13%,18%,3%,29%,33%,49%,95%,16%,85%,Approaching Target,75%,Approaching Target,82%,Meeting Target,69%,Approaching Target,67%,Not Meeting Target,78%,Approaching Target,Exceeding Target,2.77,2.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,6,0,0,3,1,2,0,0,4,74,8,0,0,2,3,3,0,0,5,68,2,0,0,0,0,1,0,0,1,71,6,0,0,0,0,3,0,0,4,54,1,0,0,0,0,1,0,0,1,58,5,0,0,0,0,3,0,4,3
,,,J.H.S. 014 SHELL BANK,3.322E+11,22K014,22,40.593516,-73.938193,"2424 BATCHELDER ST BROOKLYN, NY 11235",BROOKLYN,11235,"06,07,08",6,8,No,0.708,N/A,18%,11%,48%,17%,64%,24%,92%,29%,86%,Meeting Target,91%,Meeting Target,80%,Meeting Target,86%,Meeting Target,71%,Approaching Target,92%,Meeting Target,Meeting Target,2.32,2.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,8,0,2,5,0,1,0,0,7,144,9,0,0,3,2,4,0,1,9,165,8,0,3,1,0,2,0,0,7,178,14,0,2,2,0,6,0,1,14,167,3,0,0,1,0,1,0,0,3,173,12,0,4,2,0,4,0,0,11
